indic_is,unit,sizen_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_AESBEU,PC_ENT,10_C10_12,AT	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,BE	: 	: 	: 	: 	: 	: 	12 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,BG	: 	: 	2 	: 	2 	: 	4 	: 	1 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,CY	: 	: 	8 	: 	19 	: 	7 	: 	14 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,CZ	: 	: 	22 	: 	13 	: 	10 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,DE	: 	: 	: 	: 	8 	: 	4 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,DK	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EA	: 	: 	: 	: 	12 	: 	9 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EE	: 	: 	21 	: 	12 	: 	14 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EL	: 	: 	4 	: 	10 	: 	: u	: 	5 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,ES	: 	: 	: u	: 	: u	: 	: u	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EU15	: 	: 	: 	: 	: 	: 	9 	: 	12 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EU27	: 	: 	: 	: 	10 	: 	8 	: 	10 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EU27_2019	: 	: 	: 	: 	10 	: 	8 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,EU28	: 	: 	: 	: 	10 	: 	8 	: 	10 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,FI	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
E_AESBEU,PC_ENT,10_C10_12,FR	: 	: 	: 	: 	: 	: 	8 	: 	9 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,HR	: 	: 	7 	: 	4 	: 	2 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,HU	: 	: 	5 	: 	7 	: 	4 	: 	2 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,IE	: 	: 	: 	: 	33 	: 	34 	: 	21 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,IT	: 	: 	24 	: 	16 	: 	: u	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,LT	: 	: 	: 	: 	: 	: 	14 	: 	11 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,LU	: 	: 	: u	: 	: u	: 	: u	: 	: c	: 	: 
E_AESBEU,PC_ENT,10_C10_12,LV	: 	: 	19 	: 	14 	: 	8 	: 	7 	: 	: 
E_AESBEU,PC_ENT,10_C10_12,MK	: 	: 	: 	: 	1 	: 	1 	: 	: u	: 	: 
